gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000166401_SERPINB8	1056	0.449955937386074	0.13215046838206	0.306325602153873	0.0899451237362641	0.0216228683417288
ENSG00000167220_HDHD2	954	0.802983037404037	0.0921693287922511	0.0853395063779703	0.00978585827978884	0.00972226914595328
ENSG00000168461_RAB31	1325	0.734013803138466	0.112991329724555	0.123733637188846	0.0190368673103591	0.0102243626377732
ENSG00000172466_ZNF24	819	0.894121618385334	0.026252363064973	0.0747532100129186	0.00219215321199098	0.00268065532478351
ENSG00000176014_TUBB6	853	0.669795155109675	0.0926014525047539	0.197098183907192	0.0272362236049415	0.0132689848734375
ENSG00000177150_C18orf19	742	0.655569896051346	0.101907239599692	0.196674240515889	0.0305573892256472	0.0152912346074261
ENSG00000197563_PIGN	1016	0.365521718624624	0.029820227581763	0.550795152852752	0.0449263873593857	0.00893651358147497
ENSG00000198795_ZNF521	1088	0.694583505148072	0.183683467151703	0.0799757724349632	0.0211290637607367	0.0206281915045247
ENSG00000215429_ILMN_33941	1055	2.62250652851107e-05	7.7049572481248e-06	0.761014474875909	0.223571632323978	0.015379962777581
ENSG00000064666_CNN2	724	0.843623986402651	0.0728104230795099	0.0708036140799433	0.00610417021646413	0.00665780622143193
ENSG00000065000_AP3D1	751	0.827497656591159	0.087396498593675	0.0701660644381024	0.0074030804820919	0.00753669989497211
ENSG00000065268_WDR18	704	0.0595637817747497	0.00218531749842752	0.86916221732361	0.0318511911113893	0.0372374922918236
ENSG00000073050_XRCC1	709	0.00232843462686721	0.000316902863354513	0.866968214498827	0.117983054345117	0.0124033936658348
ENSG00000076924_XAB2	861	0.835350101016948	0.0371669417800738	0.117614734974777	0.0052283516643203	0.00463987056388158
ENSG00000083828_ZNF586	891	0.74156236938327	0.0302683484438785	0.214529455154471	0.00875155969738802	0.00488826732099304
ENSG00000095932_ILMN_32047	796	0.528801941979438	0.363171166707637	0.0435923865159559	0.0299038955078857	0.0345306092890835
ENSG00000104946_TBC1D17	768	0.889485939869563	0.0308565418217407	0.0739204208675302	0.00256114626657074	0.00317595117459517
ENSG00000104953_TLE6	791	0.505989520923612	0.381034528390623	0.0438362459852158	0.0329746437101138	0.0361650609904355
ENSG00000105053_VRK3	778	0.758766946070826	0.0280731412215052	0.199504164638839	0.00737504846501922	0.00628069960381029
ENSG00000105132_ZNF550	997	0.778110363526248	0.0272038917206266	0.184031084070335	0.00642977460673503	0.00422488607605477
ENSG00000105198_LGALS13	805	5.18187016860157e-10	0.852245152613298	3.95412108481534e-11	0.0649493241473934	0.0828055226815798
ENSG00000105404_RABAC1	488	0.799527556384467	0.0280322068502938	0.162004428835473	0.00567527090593985	0.00476053702382606
ENSG00000105697_HAMP	850	0.877220886783814	0.0366078365416048	0.0787691824978873	0.00328304545093707	0.00411904872575724
ENSG00000105698_USF2	853	0.701804727128711	0.0293481801086172	0.203390261365778	0.0084483974035008	0.0570084339933937
ENSG00000118046_STK11	780	0.846281064711349	0.0739833970221226	0.0675655003796563	0.00590042669577574	0.00626961119109639
ENSG00000121289_CCDC123	921	0.0154681769579279	0.0545049473786778	0.203987002685026	0.718778208499355	0.00726166447901274
ENSG00000121406_ZNF549	1007	0.869488954969166	0.0305036428179239	0.0934394082020199	0.00327477295404907	0.00329322105684119
ENSG00000125656_CLPP	821	0.862972568506002	0.0470185288523601	0.0806985127092506	0.00439189025953403	0.00491849967285328
ENSG00000125753_VASP	777	0.000866007994159978	0.000357057774632792	0.676004274785	0.278674555331777	0.0440981041144302
ENSG00000125910_EDG6	781	0.517913253508961	0.364652358049716	0.0486891847574916	0.0342465820671793	0.0344986216166523
ENSG00000126246_TMEM149	814	0.0857014865145127	0.00321304059930132	0.856944908766637	0.0321057484377104	0.0220348156818381
ENSG00000129933_KIAA0892	638	0.422779296180465	0.0155069198927026	0.52069165486363	0.0190762546612328	0.0219458744019691
ENSG00000130312_MRPL34	824	0.787448935243905	0.0516093478786991	0.145088553326224	0.00950274316866525	0.00635042038250686
ENSG00000141934_PPAP2C	459	0.919718201106393	0.0283288687595446	0.0474439629593057	0.0014583032578496	0.0030506639169066
ENSG00000141994_DUS3L	799	0.16800200460709	0.00837236275811694	0.772091301715701	0.0384640209334706	0.0130703099856208
ENSG00000142046_BCKDHA	674	0.905359628944021	0.0273962301738625	0.0625937656198036	0.00189133160888546	0.00275904365342725
ENSG00000160113_NR2F6	804	0.861953947554998	0.0561072666038397	0.0710776134441457	0.00462042244753054	0.00624074994948635
ENSG00000161558_TMEM143	901	0.75193497420159	0.0508606263996376	0.16045247301081	0.0108270259060235	0.0259249004819388
ENSG00000167766_ZNF83	1082	0.727853217115376	0.0282827608664206	0.20724032565536	0.00802429977946104	0.0285993965833819
ENSG00000167807_ILMN_19980	701	0.159651931769628	0.535984588725907	0.011850685048614	0.0395322226606156	0.252980571795236
ENSG00000170866_LILRA3	944	0.711788760915692	0.185803550927498	0.0665759682741568	0.0173603522258221	0.0184713676568313
